#
# PronunciationCleaner IPA Data File
#
# Syntax:
#   old,[new]
#
#   where:
#       - old is a Unicode codepoint (xxxx)
#       - new is either empty or one or more Unicode codepoints (yyyy, yyyy_zzzz, etc.)
#         (if empty, it means that old will be removed)
#
# Version: 0.1.0
# Date:    2016-06-06
#

###############
# long (02D0) #
###############
# COLON
003A,02D0
        
#########################
# primary-stress (02C8) #
#########################
# QUOTATION MARK
0022,02C8
# APOSTROPHE
0027,02C8
# GRAVE ACCENT
0060,02C8
# ACUTE ACCENT
00B4,02C8
# MODIFIER LETTER PRIME
02B9,02C8
# LEFT SINGLE QUOTATION MARK
2018,02C8
# RIGHT SINGLE QUOTATION MARK
2019,02C8
# PRIME
2032,02C8

###########################
# secondary-stress (02CC) #
###########################
# COMMA
002C,02CC
# GREEK LOWER NUMERAL SIGN
0375,02CC
# SINGLE LOW-9 QUOTATION MARK
201A,02CC

#########################
# syllable-break (002E) #
#########################
# MIDDLE DOT
00B7,002E
# HYPHENATION POINT
2027,002E

#####################
# word-break (0020) #
#####################
# EN QUAD
2000,0020
# EM QUAD
2001,0020
# EN SPACE
2002,0020
# EM SPACE
2003,0020
# THREE-PER-EM SPACE
2004,0020
# FOUR-PER-EM SPACE
2005,0020
# SIX-PER-EM SPACE
2006,0020
# FIGURE SPACE
2007,0020
# PUNCTUATION SPACE
2008,0020
# THIN SPACE
2009,0020
# HAIR SPACE
200A,0020

##################
# linking (203F) #
##################
# CHARACTER TIE
2040,203F

######################
# global-rise (2197) #
######################
# UPWARDS ARROW
2191,2197

######################
# global-fall (2198) #
######################
# DOWNWARDS ARROW
2193,2198

###########################
# major-group (007C+007C) #
###########################
# DOUBLE VERTICAL LINE
2016,007C_007C

#########################################################################################
# voiceless palato-alveolar sibilant-fricative consonant (0283, LATIN SMALL LETTER ESH) #
#########################################################################################
# INTEGRAL
222B,0283

##############################################################################
# voiced palatal nasal consonant (0272, LATIN SMALL LETTER N WITH LEFT HOOK) #
##############################################################################
# LATIN SMALL LETTER N WITH TILDE
00F1,0272

#################################################################
# open-mid back rounded vowel (0254, LATIN SMALL LETTER OPEN O) #
#################################################################
# LATIN LETTER SMALL CAPITAL OPEN O
1D10,0254

####################################################################
# open-mid front unrounded vowel (025B, LATIN SMALL LETTER OPEN E) #
####################################################################
# GREEK SMALL LETTER EPSILON
03B5,025B
# GREEK SMALL LETTER EPSILON WITH TONOS
03AD,025B

################################################################
# mid central unrounded vowel (0259, LATIN SMALL LETTER SCHWA) #
################################################################
# LATIN SMALL LETTER TURNED E
01DD,0259

#######################################################################
# close-mid back unrounded vowel (0264, LATIN SMALL LETTER RAMS HORN) #
#######################################################################
# GREEK SMALL LETTER GAMMA
03B3,0264

#################################################################################
# voiced dental non-sibilant-fricative consonant (00F0, LATIN SMALL LETTER ETH) #
#################################################################################
# GREEK SMALL LETTER DELTA
03B4,00F0

####################################################################################
# remove grave/acute/circumflex/tilde/diaeresis/macron/caron, keep the base letter #
####################################################################################
# LATIN SMALL LETTER A WITH GRAVE
00E0,0061
# LATIN SMALL LETTER A WITH ACUTE
00E1,0061
# LATIN SMALL LETTER A WITH CIRCUMFLEX
